first_word,second_word,bigram,count
"كيف","اقدر","كيف اقدر",29
"اليوم","بس؟","اليوم بس؟",29
"هل","ممكن","هل ممكن",29
"ميلاد","اخوي،","ميلاد اخوي،",29
"اطلب","منكم","اطلب منكم",29
"في","خصم","في خصم",28
"بس","ابي","بس ابي",28
"مشكله","في","مشكله في",28
"شكرا","علي","شكرا علي",28
"ما","ادري","ما ادري",28
"لو","سمحت،","لو سمحت،",27
"انا","في","انا في",27
"شي","مناسب","شي مناسب",27
"المغرب","اذا","المغرب اذا",26
"يوم","الجمعه","يوم الجمعه",26
"ابغي","اعرف","ابغي اعرف",26
"الغي","الطلب","الغي الطلب",26
"دايما","اشتري","دايما اشتري",26
"كل","مره","كل مره",26
"بس","مو","بس مو",26
"عيد","ميلاد،","عيد ميلاد،",25
"واحتاج","شي","واحتاج شي",25
"اخوي","كان","اخوي كان",25
"شي","ثاني","شي ثاني",25
"شلون","اقدر","شلون اقدر",25
"شي","حق","شي حق",24
"اي","عروض","اي عروض",24
"لعيد","ميلاده","لعيد ميلاده",24
"انا","طلبت","انا طلبت",24
"اخلص","الموضوع","اخلص الموضوع",23
"اتاكد","من","اتاكد من",23
"عندكم","عرض","عندكم عرض",23
"لو","سمحت","لو سمحت",23
"وما","عندي","وما عندي",23
"اتعامل","معاكم","اتعامل معاكم",23
"احتاج","الرد","احتاج الرد",23
"ادور","علي","ادور علي",23
"عميل","عميل","عميل عميل",22
"ممكن","تعطوني","ممكن تعطوني",22
"ميلاد","الاسبوع","ميلاد الاسبوع",22
"اقرر","قبل","اقرر قبل",22
"قبل","نهايه","قبل نهايه",22
"شلونكم؟","انا","شلونكم؟ انا",22
"انه","فيه","انه فيه",22
"احتاج","اعرف","احتاج اعرف",22
"ابي","اعرف","ابي اعرف",22
"اذا","اخذت","اذا اخذت",22
"كل","شي","كل شي",22
"باسرع","وقت","باسرع وقت",22
"شي","مميز","شي مميز",22
"شي","ارخص","شي ارخص",21
"اخوي","بعد","اخوي بعد",21
"ممكن","تخبرني","ممكن تخبرني",21
"خاص","اليوم","خاص اليوم",21
"فيه","عرض","فيه عرض",21
"في","تخفيضات","في تخفيضات",21
"دايم","واحتاج","دايم واحتاج",21
"فيه","عروض","فيه عروض",21
"هديه","لعيد","هديه لعيد",21
"بس","الحين","بس الحين",21
"اطلب","منكم،","اطلب منكم،",21
"يكون","رخيص","يكون رخيص",20
"ما","توقعت","ما توقعت",20
"الاسبوع","الجاي،","الاسبوع الجاي،",20
"تردون","علي","تردون علي",20
"شي","رخيص،","شي رخيص،",20
"من","الموقع","من الموقع",20
"حق","اخوي","حق اخوي",20
"ابغي","اتاكد","ابغي اتاكد",20
"رخيص","حق","رخيص حق",20
"احصل","علي","احصل علي",19
"خصم","خاص","خصم خاص",19
"الاسبوع","الياي","الاسبوع الياي",19
"الجمعه","الجايه؟","الجمعه الجايه؟",19
"بس","هالمره","بس هالمره",19
"شنو","الحل؟","شنو الحل؟",19
"اليوم","فقط؟","اليوم فقط؟",19
"ما","يشتغل","ما يشتغل",19
"في","مشكله","في مشكله",19
"تقدرون","تساعدوني","تقدرون تساعدوني",19
"وما","اقدر","وما اقدر",19
"يكون","فيه","يكون فيه",19
"عندكم","في","عندكم في",19
"اللي","طلبته","اللي طلبته",19
"المنتج","اللي","المنتج اللي",19
"اخوي","قال","اخوي قال",19
"يبغي","شي","يبغي شي",19
"يكون","في","يكون في",18
"الجمعه","اليايه","الجمعه اليايه",18
"عندكم","اي","عندكم اي",18
"عيد","ميلاده،","عيد ميلاده،",18
"لو","اخذت","لو اخذت",18
"كيف","حالكم؟","كيف حالكم؟",18
"اتواصل","مع","اتواصل مع",18
"الاسبوع","اللي","الاسبوع اللي",18
"ما","لقيت","ما لقيت",18
"قال","لي","قال لي",18
"عشان","اقرر","عشان اقرر",17
"لازم","يكون","لازم يكون",17
"دايما","اتعامل","دايما اتعامل",17
"بصراحه،","انا","بصراحه، انا",17
"يعني","لو","يعني لو",17
"اقدر","انتظر","اقدر انتظر",17
"لين","الجمعه","لين الجمعه",17
"سمعت","من","سمعت من",17
"في","حل","في حل",17
"اريد","شي","اريد شي",17
"ابي","اتاكد","ابي اتاكد",17
"خاصه","اليوم","خاصه اليوم",17
"فيه","شي","فيه شي",17
"انا","محتاج","انا محتاج",17
"ما","ابغي","ما ابغي",17
"وابي","شي","وابي شي",17
"لعيد","ميلاده،","لعيد ميلاده،",17
"في","الموقع","في الموقع",17
"ليش","ما","ليش ما",17
"الخدمه","تكون","الخدمه تكون",17
"ما","حصلت","ما حصلت",17
"اعرف","عن","اعرف عن",17
"عندكم","عطور","عندكم عطور",17
"وابي","اعرف","وابي اعرف",16
"حفله","عيد","حفله عيد",16
"وابغي","اعرف","وابغي اعرف",16
"عندي","شغل","عندي شغل",16
"يبي","نفس","يبي نفس",16
"فيه","اي","فيه اي",16
"ادري","اني","ادري اني",16
"احتاج","حل","احتاج حل",16
"لاول","مره","لاول مره",16
"توقعت","يصير","توقعت يصير",16
"بس","لازم","بس لازم",16
"اليوم","اذا","اليوم اذا",16
"عندكم،","بس","عندكم، بس",16
"دايم","وما","دايم وما",16
"اليوم،","ممكن","اليوم، ممكن",16
"ميلاده","الاسبوع","ميلاده الاسبوع",16
"شي","يناسب","شي يناسب",16
"فيه","خصم","فيه خصم",16
"تساعدوني","في","تساعدوني في",16
"ابغي","شيء","ابغي شيء",16
"يكون","زين","يكون زين",16
"زين،","شنو","زين، شنو",16
"بس","يكون","بس يكون",16
"مو","معقول","مو معقول",16
"اذا","كان","اذا كان",16
"يبي","شي","يبي شي",16
"مو","غالي","مو غالي",16
"عن","العروض","عن العروض",16
"بعد","يبي","بعد يبي",15
"اللي","في","اللي في",15
"في","الدوحه","في الدوحه",15
"شيء","رخيص","شيء رخيص",15
"ممكن","تخبروني","ممكن تخبروني",15
"مناسبه","عيد","مناسبه عيد",15
"اخوي،","بس","اخوي، بس",15
"بس","انا","بس انا",15
"اطلب","من","اطلب من",15
"كل","ما","كل ما",15
"ابي","حل","ابي حل",15
"زبون","دايم","زبون دايم",15
"مو","متاكد","مو متاكد",15
"بغيت","اعرف","بغيت اعرف",15
"زين،","بس","زين، بس",15
"شي","حلو","شي حلو",15
"عندكم","قبل","عندكم قبل",14
"انا","بس","انا بس",14
"المغرب","عشان","المغرب عشان",14
"علي","مساعدتكم،","علي مساعدتكم،",14
"محتاج","شي","محتاج شي",14
"اتاكد","انه","اتاكد انه",14
"احتاجها","قبل","احتاجها قبل",14
"انا","اشتريت","انا اشتريت",14
"ادور","شي","ادور شي",14
"علي","شي","علي شي",14
"الجمعه","اليايه؟","الجمعه اليايه؟",14
"زبون","عميل","زبون عميل",14
"هديه","مع","هديه مع",14
"لي","انه","لي انه",14
"العروض","اللي","العروض اللي",14
"اذا","طلبت","اذا طلبت",14
"اهم","شي","اهم شي",14
"شنو","اذا","شنو اذا",14
"في","مجال","في مجال",13
"ما","صار","ما صار",13
"شي","خاص","شي خاص",13
"عشان","اقدر","عشان اقدر",13
"هل","هذا","هل هذا",13
"اشتري","دراجه","اشتري دراجه",13
"رخيص","لاني","رخيص لاني",13
"ما","يصير","ما يصير",13
"ميلاد","ولدي","ميلاد ولدي",13
"يبي","واحد","يبي واحد",13
"شيء","يكون","شيء يكون",13
"انا","بصراحه","انا بصراحه",13
"ممكن","تساعدني","ممكن تساعدني",13
"في","جده","في جده",13
"ممكن","احد","ممكن احد",13
"ما","اعرف","ما اعرف",13
"وهل","في","وهل في",13
"اليوم","ولا","اليوم ولا",13
"خاص","قبل","خاص قبل",13
"مره","يصير","مره يصير",13
"وايد","علي","وايد علي",13
"المغرب","اليوم؟","المغرب اليوم؟",13
"العرض","اللي","العرض اللي",13
"المغرب","لو","المغرب لو",13
"ودي","اعرف","ودي اعرف",13
"منكم،","بس","منكم، بس",13
"من","المحرق","من المحرق",12
"اقدر","احصل","اقدر احصل",12
"انتظر","لين","انتظر لين",12
"ما","اريد","ما اريد",12
"اقدر","اطلب","اقدر اطلب",12
"هذا","صحيح؟","هذا صحيح؟",12
"طيب،","اذا","طيب، اذا",12
"المفروض","يكون","المفروض يكون",12
"عندي","سءال","عندي سءال",12
"سءال","عن","سءال عن",12
"لو","تقدرون","لو تقدرون",12
"خصوصا","اني","خصوصا اني",12
"الموضوع","قبل","الموضوع قبل",12
"حالكم؟","انا","حالكم؟ انا",12
"لو","سمحتوا،","لو سمحتوا،",12
"منكم","وما","منكم وما",12
"انا","ساكن","انا ساكن",12
"كان","في","كان في",12
"للحين","ما","للحين ما",12
"شكرا","جزيلا","شكرا جزيلا",12
"اللي","شريته","اللي شريته",12
"الطلب","اللي","الطلب اللي",12
"وما","في","وما في",12
"ان","عندكم","ان عندكم",12
"يبغي","نفس","يبغي نفس",12
"شاء","الله،","شاء الله،",12
"وشنو","؟","وشنو ؟",12
"انا","مو","انا مو",12
"من","البنك","من البنك",12
"عروض","علي","عروض علي",12
"عندكم","وما","عندكم وما",12
"عن","طريق","عن طريق",12
"عندكم","من","عندكم من",12
"؟","وهل","؟ وهل",12
"احتاج","شيء","احتاج شيء",12
"مناسب","حق","مناسب حق",12
"لي","اذا","لي اذا",12
"يكون","مناسب","يكون مناسب",12
"تعطوني","سعر","تعطوني سعر",11
"حق","حفله","حق حفله",11
"تفاصيل","اكثر؟","تفاصيل اكثر؟",11
"سعر","احسن","سعر احسن",11
"لاني","محتاج","لاني محتاج",11
"استفسار","بسيط","استفسار بسيط",11
"لي","ساعه","لي ساعه",11
"وسمعت","عن","وسمعت عن",11
"قالوا","لي","قالوا لي",11
"يكون","غالي","يكون غالي",11
"بس","هل","بس هل",11
"اكثر","من","اكثر من",11
"عندي","عيد","عندي عيد",11
"قبل","يوم","قبل يوم",11
"عندكم","خصومات","عندكم خصومات",11
"رخيص","لان","رخيص لان",11
"ابغي","حل","ابغي حل",11
"لاني","ما","لاني ما",11
"ما","يخلص","ما يخلص",11
"لازم","اخلص","لازم اخلص",11
"استفسار","بخصوص","استفسار بخصوص",11
"باسرع","وقت،","باسرع وقت،",11
"مره","ثانيه","مره ثانيه",11
"اتعامل","مع","اتعامل مع",11
"بس","سمعت","بس سمعت",11
"لي","شنو","لي شنو",11
"شنو","من","شنو من",11
"عرض","اليوم","عرض اليوم",11
"في","ابوظبي","في ابوظبي",11
"لي","حل","لي حل",11
"لي","ان","لي ان",11
"وقت","اضيع","وقت اضيع",11
"ما","ابي","ما ابي",11
"اللي","سويته","اللي سويته",11
"من","مسقط","من مسقط",11
"قريب","من","قريب من",11
"بغيت","استفسر","بغيت استفسر",11
"لكن","ما","لكن ما",11
"شي","يناسبني","شي يناسبني",11
"ميلاد","اختي","ميلاد اختي",11
"بس","شنو","بس شنو",11
"استفيد","من","استفيد من",11
"عندكم","شنط","عندكم شنط",11
"دراجه","من","دراجه من",11
"ممكن","احصل","ممكن احصل",10
"عنده","عيد","عنده عيد",10
"سمعت","انكم","سمعت انكم",10
"اقدر","اجي","اقدر اجي",10
"في","خصومات","في خصومات",10
"شكرا","وايد","شكرا وايد",10
"بصراحه","ما","بصراحه ما",10
"دايم","وابغي","دايم وابغي",10
"اني","عميل","اني عميل",10
"اخوي","محتاج","اخوي محتاج",10
"في","الفندق","في الفندق",10
"اريد","اعرف","اريد اعرف",10
"مره","استخدم","مره استخدم",10
"حق","اخوي،","حق اخوي،",10
"شلونكم؟","عندي","شلونكم؟ عندي",10
"ساعه","احاول","ساعه احاول",10
"هل","فيه","هل فيه",10
"ان","فيه","ان فيه",10
"يا","جماعه","يا جماعه",10
"الموضوع","اليوم","الموضوع اليوم",10
"خاص","اليوم،","خاص اليوم،",10
"لو","في","لو في",10
"من","اول","من اول",10
"بس","عندي","بس عندي",10
"مره","اشتري،","مره اشتري،",10
"علي","الموقع","علي الموقع",10
"رخيص","شوي،","رخيص شوي،",10
"لو","سمحتوا","لو سمحتوا",10
"ساكن","في","ساكن في",10
"بس","اليوم","بس اليوم",10
"شاكر","لكم","شاكر لكم",10
"ما","كان","ما كان",10
"طريقه","اقدر","طريقه اقدر",10
"واتوقع","خدمه","واتوقع خدمه",10
"هذي","اول","هذي اول",10
"من","موقعكم","من موقعكم",10
"انا","ما","انا ما",10
"اكون","شاكر","اكون شاكر",10
"يطلع","لي","يطلع لي",10
"ما","وصلني","ما وصلني",10
"ما","حصلته","ما حصلته",10
"حق","هديه","حق هديه",10
"اللي","عندكم،","اللي عندكم،",10
"شي","زين","شي زين",10
"ميلاد","قريب","ميلاد قريب",10
"اتاكد","اذا","اتاكد اذا",10
"كنت","ابغي","كنت ابغي",10
"الفرق","بين","الفرق بين",10
"بس","احتاج","بس احتاج",10
"راح","اضطر","راح اضطر",10
"يا","جماعه،","يا جماعه،",10
"شفت","شي","شفت شي",10
"مو","اول","مو اول",10
"اللي","شفتها","اللي شفتها",10
"عن","توصيل","عن توصيل",10
"معلومات","عن","معلومات عن",10
"متاكد","اذا","متاكد اذا",10
"من","الريان","من الريان",10
"شكرا","جزيلا،","شكرا جزيلا،",10
"تعطوني","تفاصيل","تعطوني تفاصيل",10
"يعطيكم","العافيه،","يعطيكم العافيه،",10
"في","توصيل","في توصيل",10
"لو","ممكن","لو ممكن",10
"طيب،","شنو","طيب، شنو",10
"عن","العرض","عن العرض",10
"لي","قبل","لي قبل",10
"غالي","وايد","غالي وايد",10
"فيه","تخفيضات","فيه تخفيضات",10
"خصومات","خاصه","خصومات خاصه",10
"اتاكد","قبل","اتاكد قبل",10
"اشتري","له","اشتري له",9
"لو","اشتريت","لو اشتريت",9
"ابغي","اشتري","ابغي اشتري",9
"ما","ينتهي","ما ينتهي",9
"احتاج","الانترنت","احتاج الانترنت",9
"بس","اللي","بس اللي",9
"تحلون","المشكله","تحلون المشكله",9
"يكون","قبل","يكون قبل",9
"ممكن","تردون","ممكن تردون",9
"الفندق","اللي","الفندق اللي",9
"اللي","كان","اللي كان",9
"وحده","لي","وحده لي",9
"لاني","اول","لاني اول",9
"تخفيضات","اليوم","تخفيضات اليوم",9
"الجمعه","الجاي","الجمعه الجاي",9
"ما","عندكم","ما عندكم",9
"من","قبل","من قبل",9
"ابي","شيء","ابي شيء",9
"تسوون","لي","تسوون لي",9
"علي","قبل","علي قبل",9
"عندكم","دراجات","عندكم دراجات",9
"نهايه","الاسبوع","نهايه الاسبوع",9
"ممكن","تعطيني","ممكن تعطيني",9
"اتعامل","معاكم،","اتعامل معاكم،",9
"وما","قدرت","وما قدرت",9
"ممكن","تساعدني؟","ممكن تساعدني؟",9
"يرد","علي","يرد علي",9
"يبغي","يشتري","يبغي يشتري",9
"؟","يمكن","؟ يمكن",9
"شي","جديد","شي جديد",9
"الموقع","وما","الموقع وما",9
"مع","البنك","مع البنك",9
"ادري","اذا","ادري اذا",9
"كل","شوي","كل شوي",9
"جزيلا","علي","جزيلا علي",9
"سريع،","لاني","سريع، لاني",9
"ما","احاول","ما احاول",9
"وقت","اضيعه","وقت اضيعه",9
"الطلب","كان","الطلب كان",9
"في","الريان","في الريان",9
"ما","شاء","ما شاء",9
"شي","قبل","شي قبل",9
"في","هديه","في هديه",9
"خاص","حق","خاص حق",9
"ما","انحلت","ما انحلت",9
"الشنط","اللي","الشنط اللي",9
"اقدر","الغي","اقدر الغي",9
"ممكن","الغي","ممكن الغي",9
"خدمه","افضل","خدمه افضل",9
"هنا","في","هنا في",9
"لازم","اروح","لازم اروح",9
"خاصه","اني","خاصه اني",9
"في","المحرق","في المحرق",9
"عندكم","خدمه","عندكم خدمه",9
"المنتجات","اللي","المنتجات اللي",9
"اللي","شريتها","اللي شريتها",9
"عندكم","شيء","عندكم شيء",9
"واحد","بعد،","واحد بعد،",9
"توصل","قبل","توصل قبل",9
"يوصلني","قبل","يوصلني قبل",9
"انتظر","ردكم","انتظر ردكم",9
"هل","العرض","هل العرض",9
"لي","عن","لي عن",9
"سعره","مناسب،","سعره مناسب،",9
"؟","ابي","؟ ابي",9
"حق","اليوم","حق اليوم",9
"عندكم","تخفيضات","عندكم تخفيضات",9
"لان","الوقت","لان الوقت",9
"خصم","لو","خصم لو",9
"ميلاده،","بس","ميلاده، بس",9
"ابحث","عن","ابحث عن",9
"تفاصيل","اكثر","تفاصيل اكثر",9
"علي","المساعده،","علي المساعده،",9
"حاله","حسابي","حاله حسابي",9
"الغي","طلبي","الغي طلبي",9
"كنت","ادور","كنت ادور",9
"اليوم،","بس","اليوم، بس",9
"اكنسل","الطلب","اكنسل الطلب",9
"عطور","جديده","عطور جديده",9
"المغرب،","في","المغرب، في",8
"ممكن","تفاصيل","ممكن تفاصيل",8
"مشكله","ويا","مشكله ويا",8
"في","دبي","في دبي",8
"اللي","صار","اللي صار",8
"شغل","مهم","شغل مهم",8
"عروض","حلوه","عروض حلوه",8
"تقدر","تساعدني","تقدر تساعدني",8
"هالمره","ما","هالمره ما",8
"في","صلاله","في صلاله",8
"كم","يوم","كم يوم",8
"ميلاده","اللي","ميلاده اللي",8
"؟","اخوي","؟ اخوي",8
"المغرب","لان","المغرب لان",8
"شي","سريع","شي سريع",8
"احتاج","الدراجه","احتاج الدراجه",8
"المغرب","كنت","المغرب كنت",8
"لي","ووحده","لي ووحده",8
"ادري","انكم","ادري انكم",8
"بس","في","بس في",8
"انه","عندكم","انه عندكم",8
"لانه","عيد","لانه عيد",8
"ممكن","توضح","ممكن توضح",8
"يبغي","واحد","يبغي واحد",8
"لازم","اقرر","لازم اقرر",8
"كيف","حالك؟","كيف حالك؟",8
"بعد","ما","بعد ما",8
"افكر","اشتري","افكر اشتري",8
"اخوي","الاسبوع","اخوي الاسبوع",8
"اتاكد","ان","اتاكد ان",8
"وما","ادري","وما ادري",8
"عندي","ميزانيه","عندي ميزانيه",8
"اليوم،","لان","اليوم، لان",8
"اطلب","قبل","اطلب قبل",8
"في","احد","في احد",8
"بصراحه","انا","بصراحه انا",8
"والله","انا","والله انا",8
"الجمعه","الجايه،","الجمعه الجايه،",8
"في","المنامه","في المنامه",8
"خاصه","حق","خاصه حق",8
"مساء","الخير،","مساء الخير،",8
"كان","عندي","كان عندي",8
"شنطه","من","شنطه من",8
"توضحون","لي","توضحون لي",8
"اتكلم","مع","اتكلم مع",8
"لي","فتره","لي فتره",8
"وما","وصلني","وما وصلني",8
"بسرعه","قبل","بسرعه قبل",8
"شنو","ال","شنو ال",8
"علي","بسرعه،","علي بسرعه،",8
"هل","عندكم","هل عندكم",8
"انا","كنت","انا كنت",8
"رخيص،","اخوي","رخيص، اخوي",8
"وعليكم","السلام،","وعليكم السلام،",8
"بس","اخوي","بس اخوي",8
"عندكم،","المفروض","عندكم، المفروض",8
"انحلت","المشكله","انحلت المشكله",8
"شلون","يعني","شلون يعني",8
"فيه","طريقه","فيه طريقه",8
"انا","طالب","انا طالب",8
"ما","ينفع","ما ينفع",8
"تقولون","لي","تقولون لي",8
"شي","ثاني،","شي ثاني،",8
"خدمه","العملاء","خدمه العملاء",8
"مو","فاهم","مو فاهم",8
"عميل","مميز","عميل مميز",8
"من","الرياض","من الرياض",8
"ادري","شلون","ادري شلون",8
"بس","صار","بس صار",8
"كان","فيه","كان فيه",8
"لقيت","شي","لقيت شي",8
"ممكن","يكون","ممكن يكون",8
"مثل","ما","مثل ما",8
"انا","سمعت","انا سمعت",8
"بسرعه","لان","بسرعه لان",8
"ابغي","الغي","ابغي الغي",8
"تشوفون","لي","تشوفون لي",8
"شي","مميز،","شي مميز،",8
"انا","شريت","انا شريت",8
"مع","الشراء،","مع الشراء،",8
"ضروري","قبل","ضروري قبل",8
"عندكم","واحتاج","عندكم واحتاج",8
"غالي،","بس","غالي، بس",8
"انا","ادور","انا ادور",8
"شنو","عندكم","شنو عندكم",8
"تخفيضات","خاصه","تخفيضات خاصه",8
"يوصل","قبل","يوصل قبل",8
"عن","عروض","عن عروض",8
"المغرب،","بس","المغرب، بس",8
"شنط","جديده","شنط جديده",8
"ممكن","اكنسل","ممكن اكنسل",8
"الدراجه","اللي","الدراجه اللي",8
"من","عملاءكم","من عملاءكم",7
"عن","اسعار","عن اسعار",7
"اتعامل","معكم","اتعامل معكم",7
"شي","مناسب؟","شي مناسب؟",7
"دايم","وعندي","دايم وعندي",7
"نفس","المشكله","نفس المشكله",7
"علي","سعر","علي سعر",7
"اللي","جاي","اللي جاي",7
"ما","يكون","ما يكون",7
"وما","يكون","وما يكون",7
"احاول","ادخل","احاول ادخل",7
"عندكم،","وما","عندكم، وما",7
"عندي","اجتماع","عندي اجتماع",7
"منكم","وسمعت","منكم وسمعت",7
"وما","اريد","وما اريد",7
"اذا","اقدر","اذا اقدر",7
"حاجه","رخيصه","حاجه رخيصه",7
"احتاج","القرار","احتاج القرار",7
"خاصه","قبل","خاصه قبل",7
"اذا","السعر","اذا السعر",7
"السعر","مناسب","السعر مناسب",7
"دايم","،","دايم ،",7
"بس","اريد","بس اريد",7
"انا","حاجز","انا حاجز",7
"اقدر","اتواصل","اقدر اتواصل",7
"والله","ما","والله ما",7
"مرحبا،","كيف","مرحبا، كيف",7
"الحال؟","عندي","الحال؟ عندي",7
"تقول","لي","تقول لي",7
"شي","ارخص،","شي ارخص،",7
"عندي","قبل","عندي قبل",7
"تساعدوني","قبل","تساعدوني قبل",7
"عميل","دايم؟","عميل دايم؟",7
"متي","تتوقعون","متي تتوقعون",7
"خدمه","الانترنت","خدمه الانترنت",7
"احجز","قبل","احجز قبل",7
"يشتغل","زين","يشتغل زين",7
"المشكله","انه","المشكله انه",7
"اقدر","استخدم","اقدر استخدم",7
"طيب،","لو","طيب، لو",7
"في","صلاله،","في صلاله،",7
"وما","اتوقع","وما اتوقع",7
"بس","اذا","بس اذا",7
"عروض","اليوم","عروض اليوم",7
"اشتري","هديه","اشتري هديه",7
"شي","غالي","شي غالي",7
"اشتري","شي","اشتري شي",7
"وسمعت","ان","وسمعت ان",7
"اللي","طلبتها","اللي طلبتها",7
"طيب","شنو","طيب شنو",7
"تاكد","لي","تاكد لي",7
"زين،","ممكن","زين، ممكن",7
"مع","الانترنت","مع الانترنت",7
"وما","يصير","وما يصير",7
"اشتري","قبل","اشتري قبل",7
"مكان","ثاني","مكان ثاني",7
"اشتري","جهاز","اشتري جهاز",7
"ممكن","توضحون","ممكن توضحون",7
"وانا","في","وانا في",7
"اعرف","شلون","اعرف شلون",7
"استرجع","فلوسي","استرجع فلوسي",7
"بسرعه،","لاني","بسرعه، لاني",7
"لي","رساله","لي رساله",7
"علي","حسابي","علي حسابي",7
"وصلني","شي","وصلني شي",7
"عندكم،","شنو","عندكم، شنو",7
"واحد","منهم","واحد منهم",7
"شنو","الفرق","شنو الفرق",7
"واحتاج","اعرف","واحتاج اعرف",7
"شنو","الخيارات","شنو الخيارات",7
"اقرر","اليوم","اقرر اليوم",7
"بغيت","شي","بغيت شي",7
"توضح","لي","توضح لي",7
"اسجل","دخول","اسجل دخول",7
"الطلب","قبل","الطلب قبل",7
"لابتوب","من","لابتوب من",7
"ما","حد","ما حد",7
"شو","الحل؟","شو الحل؟",7
"بس","للحين","بس للحين",7
"بانتظار","ردكم","بانتظار ردكم",7
"ممكن","حد","ممكن حد",7
"دايما","اطلب","دايما اطلب",7
"بس","للاسف","بس للاسف",7
"مع","خدمه","مع خدمه",7
"سريع","لان","سريع لان",7
"لي","شي","لي شي",7
"والله","يا","والله يا",7
"وش","الحل؟","وش الحل؟",7
"من","الخدمه","من الخدمه",7
"بس","صراحه","بس صراحه",7
"اول","ما","اول ما",7
"بسرعه","لاني","بسرعه لاني",7
"او","لازم","او لازم",7
"ممكن","استفيد","ممكن استفيد",7
"في","المنامه،","في المنامه،",7
"كنت","متوقع","كنت متوقع",7
"بما","اني","بما اني",7
"طلبت","من","طلبت من",7
"وما","كنت","وما كنت",7
"شي","ما","شي ما",7
"اذا","شريت","اذا شريت",7
"في","عندكم","في عندكم",7
"نفس","الشي","نفس الشي",7
"بيكون","ممتاز","بيكون ممتاز",7
"ترد","علي","ترد علي",7
"اللي","عندكم؟","اللي عندكم؟",7
